model_provider,model_name,n_outputs,action_accuracy,unsafe_confidence_rate,avg_confidence
anthropic,claude-sonnet-4-20250514,12,0.4166666666666667,0.5833333333333334,0.8541666666666666
openai,gpt-4.1-mini,23,0.34782608695652173,0.6521739130434783,0.8934782608695653
